time,velocity
5.000000,31.967575
5.000000,33.856532
10.000000,50.000000
10.000000,48.254430
10.000000,9.903397
10.000000,50.000000
10.000000,50.000000
10.000000,47.252813
10.000000,50.000000
10.000000,41.229733
10.000000,50.000000
10.000000,50.000000
10.000000,40.200218
10.000000,50.000000
10.000000,50.000000
10.000000,50.000000
10.000000,37.147028
10.000000,50.000000
10.000000,50.000000
10.000000,42.887962
10.000000,50.000000
10.000000,50.000000
10.000000,50.000000
10.000000,20.330207
10.000000,31.789058
10.000000,50.000000
10.000000,50.000000
10.000000,50.000000
10.000000,43.290137
10.000000,50.000000
10.000000,50.000000
10.000000,50.000000
10.000000,33.219490
10.000000,50.000000
10.000000,50.000000
10.000000,50.000000
10.000000,50.000000
10.000000,42.026032
10.000000,44.356283
10.000000,50.000000
10.000000,50.000000
10.000000,37.592130
10.000000,49.437776
10.000000,50.000000
10.000000,50.000000
10.000000,50.000000
10.000000,27.917523
10.000000,50.000000
10.000000,47.770683
10.000000,9.013683
10.000000,50.000000
10.000000,39.167153
10.000000,22.329784
10.000000,9.390697
10.000000,50.000000
10.000000,48.179043
10.000000,50.000000
10.000000,50.000000
10.000000,50.000000
10.000000,39.098565
10.000000,21.357615
10.000000,50.000000
10.000000,34.077632
10.000000,37.669556
10.000000,26.694452
10.000000,39.966806
10.000000,45.542560
10.000000,33.900090
10.000000,50.000000
10.000000,45.840968
10.000000,50.000000
10.000000,50.000000
10.000000,27.163653
10.000000,50.000000
10.000000,50.000000
10.000000,50.000000
10.000000,50.000000
10.000000,50.000000
10.000000,50.000000
10.000000,50.000000
10.000000,31.579823
10.000000,50.000000
10.000000,50.000000
10.000000,50.000000
10.000000,50.000000
10.000000,50.000000
10.000000,50.000000
10.000000,38.498880
10.000000,50.000000
10.000000,50.000000
10.000000,50.000000
10.000000,50.000000
10.000000,50.000000
10.000000,50.000000
10.000000,32.530866
10.000000,50.000000
10.000000,15.374884
10.000000,42.953590
10.000000,50.000000
10.000000,50.000000
10.000000,50.000000
10.000000,34.063800
10.000000,50.000000
10.000000,35.054566
10.000000,50.000000
10.000000,41.813032
10.000000,24.833558
10.000000,50.000000
10.000000,34.255589
10.000000,50.000000
10.000000,50.000000
10.000000,50.000000
10.000000,50.000000
10.000000,50.000000
10.000000,50.000000
10.000000,50.000000
10.000000,50.000000
10.000000,50.000000
10.000000,50.000000
10.000000,50.000000
10.000000,50.000000
10.000000,50.000000
15.000000,50.000000
15.000000,50.000000
